type_path,type_name,good_price,brand_id,good_name,img_name,good_link,img_url
./品质女装,品质女装,88,1521929,女款欧美风猩猩印花T恤,女款欧美风猩猩印花T恤,http://www.vip.com/detail-1521929-252344460.html,http:////a.vpimg2.com/upload/merchandise/pdc/822/602/30757271565602822/4/D1072022444-HM418-5_235x297_90.jpg
./品质女装,品质女装,79,1503479,古今3/4插片薄杯蕾丝刺绣收副乳调整型,古今3/4插片薄杯蕾丝刺绣收副乳调整型,http://www.vip.com/detail-1503479-253680505.html,http:////a.vpimg4.com/upload/merchandise/pdc/200/371/8608707068824371200/0/2212296-5_235x297_90.jpg
./品质女装,品质女装,99,1528628,意大利双面精梳高支棉百搭T恤双面精梳高支棉，选用70支高密度优级长绒棉，婴儿贴身装体验，内部精准定型，多次洗涤不变形。,意大利双面精梳高支棉百搭T恤,http://www.vip.com/detail-1528628-252578072.html,http:////a.vpimg2.com/upload/merchandise/pdcvis/2017/07/03/84/d71d8be2-8a99-4384-9e18-29606fb9541e_235x297_90.jpg
./品质女装,品质女装,89,1524033,无痕无钢圈美背性感深V光面文胸女内衣,无痕无钢圈美背性感深V光面文胸女内衣,http://www.vip.com/detail-1524033-250481790.html,http:////a.vpimg3.com/upload/merchandise/pdcvis/600841/2017/0527/88/8e3ac9dd-8f83-4f14-9106-051640102799_235x297_90.jpg
./品质女装,品质女装,58,1165680,绣花蕾丝3/4杯聚拢文胸,绣花蕾丝3/4杯聚拢文胸,http://www.vip.com/detail-1165680-207685266.html,http:////a.vpimg2.com/upload/merchandise/pdcvis/2017/05/26/65/8a670fc1-d49b-4b73-bda3-8351784b0693_235x297_90.jpg
./品质女装,品质女装,99,1528628,意大利精梳高支棉纯色T恤双面精梳高支棉，选用70支高密度优级长绒棉，婴儿贴身装体验，内部精准定型，多次洗涤不变形。,意大利精梳高支棉纯色T恤,http://www.vip.com/detail-1528628-252578033.html,http:////a.vpimg3.com/upload/merchandise/pdcvis/2017/07/03/73/851dfa5f-0a9d-4484-a61a-fe76b67e0395_235x297_90.jpg
./品质女装,品质女装,139,1490284,抽绳修饰花瓣V领中袖雪纺衫,抽绳修饰花瓣V领中袖雪纺衫,http://www.vip.com/detail-1490284-254257150.html,http:////a.vpimg3.com/upload/merchandise/pdcvis/2017/05/11/158/a5289c51-4f8d-458f-b36d-742faee3d779_t_235x297_90.jpg
./品质女装,品质女装,798,1523154,大码棉麻圆领短袖连衣裙,大码棉麻圆领短袖连衣裙,http://www.vip.com/detail-1523154-253947344.html,http:////a.vpimg4.com/upload/merchandise/pdcvis/2017/05/05/168/4e4c3c14-53a9-4b0a-a81f-134873003584_235x297_90.jpg
./品质女装,品质女装,49,1165680,舒适多色四条装女式组合内裤17春夏,舒适多色四条装女式组合内裤,http://www.vip.com/detail-1165680-226281451.html,http:////a.vpimg3.com/upload/merchandise/pdcvis/2017/07/10/112/fe24ff30-57de-490b-a46f-da8330116426_235x297_90.jpg
./品质女装,品质女装,69,1490284,花灰色印花圆领长袖针织T恤,花灰色印花圆领长袖针织T恤,http://www.vip.com/detail-1490284-254254588.html,http:////a.vpimg2.com/upload/merchandise/pdc/584/179/3454086202179584/0/2406338-5_235x297_90.jpg
